match_id,period,n_matches,goal_time,home
3900548,2,377,61,1
3900547,1,377,31,0
3900547,2,377,47,1
3900547,2,377,55,0
3900547,2,377,71,1
3900545,1,377,16,0
3900545,2,377,80,0
3900546,2,377,55,0
3900546,2,377,83,1
3900544,1,377,40,1
3900544,2,377,46,0
3900544,2,377,47,0
3900544,2,377,58,1
3900544,2,377,75,0
3900540,1,377,34,0
3900540,1,377,43,0
3900540,2,377,60,0
3900539,1,377,20,0
3900533,2,377,55,1
3900533,2,377,85,0
3900538,1,377,13,0
3900538,1,377,47,1
3900538,2,377,53,0
3900537,1,377,1,0
3900537,2,377,48,0
3900537,2,377,85,0
3900536,1,377,47,0
3900536,2,377,73,0
3900534,2,377,87,1
3900535,2,377,59,1
3900529,2,377,51,1
3900529,2,377,86,1
3900529,2,377,94,1
3900528,1,377,5,0
3900528,2,377,55,0
3900528,2,377,76,0
3900528,2,377,89,1
3900528,2,377,60,0
3900522,1,377,30,1
3900522,2,377,57,1
3900523,1,377,43,0
3900523,2,377,57,1
3900523,2,377,66,1
3900523,2,377,80,0
3900521,1,377,19,1
3900521,2,377,57,1
3900521,2,377,66,1
3900521,2,377,83,1
3900521,2,377,90,0
3900519,1,377,30,1
3900519,1,377,40,0
3900519,2,377,74,1
3900519,2,377,77,0
3900511,1,377,25,0
3900511,1,377,31,0
3900511,2,377,81,1
3900514,2,377,58,1
3900514,2,377,69,1
3900515,1,377,42,1
3829512,1,377,17,1
3829512,2,377,68,1
3829512,2,377,93,1
3829495,1,377,43,1
3900491,2,377,62,1
3900491,2,377,82,1
3900491,2,377,67,1
3900504,1,377,11,1
3900504,2,377,62,0
3900504,2,377,89,1
3900506,1,377,33,0
3900506,2,377,70,0
3900506,2,377,76,1
3900505,2,377,61,1
3900505,2,377,70,1
3900505,2,377,84,0
3829496,1,377,40,1
3829499,2,377,60,1
3829469,1,377,11,0
3829469,1,377,17,0
3829469,1,377,20,1
3829469,2,377,46,1
3829469,2,377,58,0
3829439,1,377,21,1
3829439,2,377,64,0
3829513,1,377,22,0
3829513,2,377,60,0
3829510,1,377,13,0
3829510,2,377,52,0
3829510,2,377,74,0
3829510,2,377,79,0
3829510,2,377,87,1
3829445,1,377,23,1
3829445,2,377,55,0
3829433,2,377,60,0
3829466,2,377,56,1
3900639,2,377,56,1
3900639,2,377,83,0
3900638,1,377,7,1
3900638,1,377,15,1
3900638,1,377,44,1
3900638,2,377,57,0
3900638,2,377,82,1
3900637,1,377,31,0
3900637,2,377,57,1
3900635,2,377,47,0
3900632,1,377,18,0
3900632,1,377,36,0
3900632,1,377,41,1
3900632,2,377,57,1
3900632,2,377,67,0
3900632,2,377,88,0
3900631,1,377,23,1
3900631,2,377,87,1
3900630,2,377,90,1
3900629,1,377,1,0
3900629,1,377,24,1
3900629,2,377,70,0
3900623,1,377,46,0
3900623,2,377,48,1
3900622,1,377,9,1
3900622,2,377,81,1
3900620,1,377,19,0
3900620,2,377,62,0
3900619,2,377,72,0
3900618,1,377,5,1
3900618,1,377,18,0
3900618,2,377,54,1
3900618,2,377,68,1
3900615,1,377,13,1
3900615,1,377,22,1
3900615,1,377,25,0
3900615,2,377,57,1
3900614,2,377,58,1
