match_id,period,n_matches,goal_time,home
3825624,1,380,7,1
3825624,2,380,70,0
3825622,1,380,19,0
3825622,1,380,33,1
3825622,2,380,59,1
3825622,2,380,68,1
3825621,1,380,8,0
3825621,2,380,82,1
3825620,1,380,19,0
3825620,2,380,60,0
3825617,2,380,51,1
3825617,2,380,57,1
3825617,2,380,73,0
3825615,1,380,9,0
3825615,2,380,61,1
3825615,2,380,91,0
3825610,1,380,16,1
3825610,2,380,45,0
3825610,2,380,56,0
3825605,1,380,22,1
3825605,1,380,45,1
3825605,2,380,50,0
3825605,2,380,67,0
3825605,2,380,85,1
3825604,1,380,25,1
3825603,2,380,53,0
3825603,2,380,58,1
3825603,2,380,71,0
3825602,1,380,18,0
3825602,2,380,66,1
3825602,2,380,69,0
3825600,2,380,70,0
3825599,1,380,17,1
3825597,1,380,41,0
3825596,1,380,3,0
3825596,1,380,7,0
3825596,1,380,15,1
3825596,1,380,27,1
3825596,1,380,33,0
3825594,1,380,14,0
3825594,1,380,25,0
3825594,2,380,53,1
3825593,2,380,61,0
3825593,2,380,76,0
3825592,1,380,19,1
3825592,1,380,43,0
3825592,2,380,70,0
3825592,2,380,86,1
3825592,2,380,89,0
3825590,2,380,54,1
3825589,1,380,1,1
3825588,1,380,6,0
3825588,1,380,26,1
3825588,1,380,27,0
3825588,2,380,60,0
3825587,1,380,5,1
3825587,1,380,23,1
3825587,2,380,69,0
3825587,2,380,82,1
3825585,1,380,12,1
3825585,1,380,17,1
3825585,1,380,22,0
3825585,2,380,47,1
3825585,2,380,73,0
3825585,2,380,60,0
3825583,2,380,90,0
3825582,1,380,40,1
3825581,1,380,6,0
3825581,1,380,16,0
3825581,1,380,19,0
3825581,1,380,27,0
3825581,2,380,61,0
3825581,2,380,80,0
3825580,1,380,11,0
3825580,2,380,57,1
3825578,1,380,33,1
3825578,2,380,60,1
3825577,1,380,25,0
3825577,1,380,28,0
3825577,2,380,79,1
3825576,1,380,38,0
3825576,1,380,44,1
3825574,1,380,10,1
3825574,2,380,49,1
3825574,2,380,87,1
3825571,1,380,4,0
3825571,2,380,66,1
3825571,2,380,86,1
3825571,2,380,92,1
3825569,1,380,39,0
3825569,2,380,54,1
3825569,2,380,76,0
3825568,1,380,31,0
3825568,2,380,86,1
3825565,1,380,2,1
3825563,1,380,15,1
266498,1,380,7,1
266498,1,380,18,1
266498,1,380,31,1
266498,1,380,39,1
266498,2,380,50,1
266498,2,380,56,1
266986,2,380,49,0
266986,2,380,80,0
267533,2,380,55,1
267533,2,380,61,0
267533,2,380,84,0
266310,1,380,10,0
266310,1,380,23,0
266310,2,380,46,0
266310,2,380,52,0
266310,2,380,63,0
266310,2,380,72,0
266310,2,380,78,0
266310,2,380,80,0
267576,1,380,9,0
267576,1,380,29,1
267576,1,380,37,1
266653,1,380,21,0
266653,1,380,22,0
266653,2,380,52,0
266653,2,380,56,1
266653,2,380,71,0
266653,2,380,85,0
265944,1,380,11,1
265944,2,380,62,1
265944,2,380,73,1
265944,2,380,76,1
265944,2,380,85,1
265944,2,380,87,1
265894,1,380,1,0
265894,1,380,31,1
265894,2,380,50,0
265958,1,380,7,1
265958,2,380,51,1
265958,2,380,60,1
265958,2,380,73,1
265958,2,380,82,1
267611,1,380,24,1
267611,2,380,53,1
267611,2,380,87,0
267422,2,380,72,1
266236,2,380,53,0
267274,2,380,58,0
267274,2,380,85,1
266961,1,380,38,1
266961,2,380,61,1
266961,2,380,76,0
266961,2,380,85,0
266885,1,380,21,1
266885,1,380,40,1
266885,2,380,52,1
266885,2,380,90,1
266815,1,380,24,0
266815,1,380,26,1
266815,1,380,30,0
266815,2,380,66,0
267506,1,380,21,0
267506,1,380,37,0
267506,2,380,85,0
266664,1,380,4,1
266106,1,380,19,0
266106,1,380,40,0
266106,2,380,56,1
266106,2,380,62,1
266149,1,380,6,1
266149,1,380,30,1
266149,2,380,46,1
266149,2,380,61,1
266149,2,380,68,1
266149,2,380,81,1
266620,1,380,7,1
266620,1,380,13,1
266620,2,380,57,1
266620,2,380,82,1
266056,1,380,7,0
266056,1,380,41,0
266056,2,380,75,0
266056,2,380,83,0
267327,1,380,32,1
267327,2,380,45,1
267327,2,380,82,1
267327,1,380,29,1
266166,2,380,50,1
266166,2,380,54,0
266166,2,380,76,0
266160,2,380,91,0
266160,1,380,20,0
265839,1,380,19,0
265839,1,380,30,1
265839,2,380,47,1
266424,1,380,10,0
266424,1,380,38,0
266424,2,380,52,0
266424,2,380,73,0
266467,1,380,25,1
266467,1,380,29,1
266467,2,380,55,1
266467,2,380,79,0
266467,2,380,82,1
267273,1,380,5,0
267273,1,380,9,1
267273,1,380,38,0
266490,2,380,49,1
266490,2,380,55,1
266490,2,380,60,1
266490,2,380,65,0
266490,2,380,89,1
266254,1,380,27,1
266254,1,380,38,0
266254,2,380,58,1
266254,2,380,74,1
266254,2,380,81,1
266254,2,380,83,1
266254,2,380,90,1
266557,1,380,45,0
266557,2,380,62,1
266557,1,380,25,0
